Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
96	2000	-0.0644	-60.302	-0.88235	14.555	77.296	0.33879	1.6561	1.2799	12.522	0.1145
86	300	0.01612	-18.136	-1.2366	9.5627	99.53	0.09975	1.1916	1.186	12.54	0.091
87	800	9.8106	-6.8495	26.65	16.543	100.59	0.20722	1.8812	1.8923	12.537	0.168
38	150	-0.09664	-65.09	-0.32877	12.318	82.057	0.38696	1.4312	1.1744	12.675	0.099
115	1550	319.07	194.15	646.34	19.001	70.573	0.85114	2.1968	1.55	12.462	0.466
69	1950	13.535	6.4692	32.794	16.92	92.892	0.53984	1.9268	1.7898	12.594	0.0855
58	150	-0.12607	-7.3826	-0.70566	19.985	94.74	0.03582	2.3349	2.2121	12.626	0.0675
109	2100	-1.1028	-18.469	-0.18865	17.444	100.22	0.52965	1.9918	1.9963	12.482	0.0765
54	1750	381.3	241.45	818.69	23.352	73.77	0.90766	2.8701	2.1153	12.649	0.66
108	1800	36.916	20.732	73.887	16.08	97.556	0.66677	1.8265	1.7818	12.482	0.0665
83	850	33.786	17.221	70.106	13.044	102.39	-0.01421	1.5011	1.5371	12.545	0.094
58	550	0.28437	-11.928	-0.93697	18.701	98.348	0.03582	2.1557	2.1201	12.626	0.078
97	2200	-0.22547	-12.443	-0.03044	15.017	80.4	0.21463	1.7061	1.3717	12.517	0.085
91	1800	23.744	16.993	57.208	17.926	100.07	1.509	2.0532	2.0546	12.528	0.068
91	1750	34.979	24.83	84.677	17.835	100.18	1.4997	2.0416	2.0451	12.528	0.0655
45	950	239.31	150.09	501.66	22.114	101.62	0.06361	2.6618	2.7049	12.671	0.346
79	350	-0.00805	-26.478	0.00609	14.507	99.695	0.04972	1.6511	1.6461	12.563	0.071
76	1700	376.13	233.62	783.07	21.024	68.791	1.0679	2.4899	1.7124	12.572	0.5535
32	950	376.64	222.05	817.28	20.345	77.174	0.94564	2.388	1.8424	12.692	0.643
83	1450	482.07	312.85	992.07	19.579	100.31	0.45367	2.2769	2.284	12.547	0.702
112	1750	191.1	98.967	377.31	20.656	77.255	0.43885	2.4345	1.8802	12.48	0.2165
82	300	-0.2202	-21.206	-0.01827	10.361	99.057	0.13218	1.257	1.2452	12.552	0.0845
80	1300	571.02	371.14	1189.2	22.576	68.13	0.93082	2.7394	1.8635	12.565	0.8085
33	2250	-0.01342	-62.584	-0.1217	14.911	82.101	0.30635	1.6946	1.3911	12.699	0.121
69	1050	63.448	37.998	130.33	18.472	99.222	1.1309	2.1249	2.1084	12.594	0.069
62	350	0	-16.741	0.03044	13.792	99.203	0.06825	1.5761	1.5635	12.609	0.0425
79	450	0	-14.575	0.00609	14.524	100.79	0.07103	1.6527	1.6658	12.563	0.102
93	50	-3.557	-16.835	0.01217	18.827	102.26	1.0791	2.1727	2.2217	12.541	0.083
33	1350	966.4	621.28	2036.2	26.098	45.432	0.99475	3.3807	1.5357	12.708	1.3695
56	350	-0.00537	-17.138	-0.15219	15.469	99.497	0.13495	1.7564	1.7475	12.628	0.0645
37	950	263.38	168.95	607.34	20.316	75.918	0.87337	2.3835	1.8092	12.673	0.785
82	1700	472.89	276.65	990.57	22.821	59.049	0.69734	2.7792	1.641	12.558	0.5485
88	1400	177.39	106.34	378.82	20.872	82.256	0.51019	2.4668	2.029	12.54	0.3895
104	1700	364.1	188.15	763.62	20.892	58.332	0.78258	2.4696	1.4402	12.507	0.5045
62	2300	-1.1028	-19.36	-0.04259	16.664	102.23	0.07844	1.8958	1.9381	12.613	0.1105
119	1750	85.028	43.995	181.32	17.305	96.616	0.78999	1.9746	1.9079	12.456	0.2005
107	2250	-0.08052	-10.207	0.1461	15.585	86.023	0.1924	1.7696	1.5217	12.491	0.0615
93	100	-2.9483	-7.3249	0.20685	18.692	102.24	0.83816	2.1544	2.2027	12.534	0.0875
80	1000	390.71	214.88	858.35	19.195	77.838	0.33045	2.2239	1.7303	12.553	0.6505
38	50	-0.00805	-59.312	-0.65744	12.357	82.935	0.27578	1.435	1.19	12.676	0.112
68	700	-0.14755	-7.0442	0	19.067	102.01	0.00339	2.2054	2.2497	12.6	0.1075
56	700	0.01879	-21.976	0.0974	15.267	100.31	0.11457	1.7337	1.739	12.628	0.076
103	2350	0.29526	-16.708	0.13392	15.914	101.08	0.49166	1.8072	1.8268	12.497	0.067
112	2150	-0.07247	-6.303	-0.76696	15.648	98.221	-0.02996	1.7767	1.7451	12.477	0.1095
74	2350	0.00268	-15.178	0	12.178	99.155	0.10716	1.4182	1.4062	12.577	0.0915
92	150	-1.4677	-1.617	0.28601	18.531	99.952	1.1643	2.1328	2.1317	12.528	0.071
85	750	1.8751	-20.993	0.46913	7.8125	99.332	0.17109	1.0584	1.0514	12.534	0.0745
119	2000	0.27642	-14.291	0.16434	17.191	92.915	0.71865	1.9601	1.8213	12.463	0.0925
78	2150	-0.38101	-6.3921	-0.2008	15.359	97.481	0.10623	1.7443	1.7008	12.574	0.1315
112	2250	-0.01074	-7.9598	0.07914	15.822	98.747	-0.01329	1.7966	1.7741	12.477	0.086
62	150	0	-17.261	-0.83389	15.178	98.69	0.04138	1.7239	1.7013	12.621	0.114
60	100	-0.7886	-8.5572	-0.07908	19.907	101.97	0.87152	2.3238	2.3694	12.626	0.083
47	900	231.96	142.36	545.7	21.057	93.15	0.14237	2.4969	2.3222	12.659	0.4975
70	2250	-1.5702	-21.013	-0.0487	12.637	97.183	0.10345	1.4616	1.4204	12.589	0.061
105	950	227.78	94.999	512.99	13.746	98.869	0.147	1.5731	1.5528	12.486	0.256
96	1200	521.08	331.47	1091	21.627	71.283	0.80945	2.5839	1.8414	12.513	0.7705
84	1450	221.08	131.77	412.12	20.331	65.074	0.70475	2.3855	1.5525	12.547	0.4935
43	1700	512.25	335.56	1132.8	26.323	69.857	0.94008	3.4259	2.3928	12.688	0.831
57	400	-1.033	-14.391	0.0791	18.381	90.433	0.37955	2.1128	1.9106	12.627	0.1005
49	1400	222.45	135.91	455.32	22.943	90.892	0.56207	2.7989	2.544	12.656	0.6175
34	1800	472.53	267.57	1016	24.591	56.949	0.79276	3.0909	1.7597	12.708	0.7445
53	1250	474.42	309.77	985.34	24.639	77.085	0.72606	3.1002	2.3888	12.644	0.5255
119	1650	238.34	129.05	504.21	18.699	93.485	0.83353	2.1554	2.0149	12.463	0.211
75	100	0	-19.983	0	12.238	98.009	0.07844	1.4238	1.3954	12.577	0.062
98	450	-0.16387	-17.152	0	8.0095	98.989	0.09697	1.0728	1.0621	12.506	0.058
54	1500	352.52	224.71	732.59	26.188	74.049	0.85392	3.3998	2.5156	12.648	0.7835
36	350	-0.11009	-18.895	0	9.6733	96.32	0.18406	1.2006	1.1565	12.676	0.069
33	1650	757.33	480.98	1600.5	26.952	41.968	0.88727	3.5552	1.4919	12.714	1.105
60	2200	-0.0456	-7.7232	-1.8674	19.192	94.124	0.0108	2.2227	2.0921	12.626	0.14
49	1550	237.94	146.16	487.75	23.24	81.177	0.64175	2.8497	2.3131	12.656	0.595
72	750	1.8617	-22.403	6.0011	8.1784	99.458	0.12847	1.0852	1.0793	12.573	0.0875
85	1750	376.9	186.3	783.95	23	56.177	0.68622	2.8087	1.5775	12.558	0.406
92	1300	39.677	32.567	110.9	19.849	102.37	1.1791	2.3153	2.3701	12.534	0.0725
84	100	-0.40809	-16.495	-0.03653	10.702	98.486	0.147	1.2861	1.2666	12.551	0.1045
